"","rank","movie_name","open_day","week_people","sum_people","screen","play_freq","top_country","country","maker","supplier","age","genre","director","actor","re_open","month","day","season","top_genre","top_count"
"1","192","-1287",NA,5,12,2,3,"일본","일본","","","no_age","다큐멘터리","이안 토마스 애쉬","","no_date",NA,NA,"no_date","0","1"
"2","158","#여름영화",NA,44,44,1,1,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"3","202","...ing",2003-11-28,6,34308,2,3,"한국","한국","드림맥스(주)","(주)튜브엔터테인먼트","12세 관람가","드라마","이언희","임수정,김래원,이미숙,김지영,김현수,박혜연,장미,이성경,박소연,김순애,최덕문,김인문","1",11,28,"fall","1","1"
"4","96","[PDFF2016] PDFF경선 3",NA,148,148,1,1,"한국","한국","","","no_age","기타","이제욱,엄하늘,황보정","","no_date",NA,NA,"no_date","0","1"
"5","96","[PDFF2016] PDFF경선 4",NA,148,148,1,1,"한국","한국","","","no_age","기타","최형원,위승범,황지은,이현우,황장우","","no_date",NA,NA,"no_date","0","1"
"6","96","[PDFF2016] PDFF경선 5",NA,148,148,1,1,"한국","한국","","","no_age","기타","김경록,홍보선,송다정,정미린,황수진,배연희,변성빈","","no_date",NA,NA,"no_date","0","1"
"7","69","[PDFF2016] 개막작",NA,296,296,1,2,"기타","기타","","","no_age","기타","마이클 악트만,제네비에브 클레이-스미스","","no_date",NA,NA,"no_date","0","0"
"8","96","[PDFF2016] 장애인미디어운동 1+개막작 2",NA,148,148,1,1,"기타","기타","","","no_age","기타","박준형,정서영,제네비에브 클레이-스미스","","no_date",NA,NA,"no_date","0","0"
"9","96","[PDFF2016] 장애인미디어운동 2+개막작 1",NA,148,148,1,1,"기타","기타","","","no_age","기타","정종국,장호경,마이클 악트만","","no_date",NA,NA,"no_date","0","0"
"10","179","[SIAFF2015] 국제단편경쟁 1",NA,4,4,1,2,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"11","144","[SIAFF2015] 국제단편경쟁 2",NA,21,21,1,2,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"12","166","[SIAFF2015] 국제단편경쟁 3",NA,8,8,1,2,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"13","158","[SIAFF2015] 국제단편경쟁 4",NA,12,12,1,2,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"14","179","[SIAFF2015] 기독 영화인 특별 상영(GV)",NA,4,4,1,1,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"15","126","[SIAFF2015] 해외영화제 단편특선 1. 낯선 현실",NA,33,33,1,2,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"16","132","[SIAFF2015] 해외영화제 단편특선 2. 쉼, 구원(GV)",NA,26,34,2,2,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"17","228","[SIAFF2016] 국제단편경쟁 1",NA,4,5,2,2,"한국","한국","","","no_age","no_genre","","","no_date",NA,NA,"no_date","0","1"
"18","222","[SIAFF2016] 국제단편경쟁 2",NA,6,17,2,2,"한국","한국","","","no_age","no_genre","","","no_date",NA,NA,"no_date","0","1"
"19","199","[SIAFF2016] 국제단편경쟁 3",NA,10,10,1,2,"한국","한국","","","no_age","no_genre","","","no_date",NA,NA,"no_date","0","1"
"20","181","[SIAFF2016] 국제단편경쟁 4",NA,18,18,1,2,"한국","한국","","","no_age","no_genre","","","no_date",NA,NA,"no_date","0","1"
"21","217","[SIAFF2017] 내 차례+장롱면허",NA,15,15,1,1,"한국","한국","","","no_age","기타","","","no_date",NA,NA,"no_date","0","1"
"22","147","[대전아트시네마 10주년 기념영화제] 극장전 Part 1 - 꽃의 왈츠 + Mr. KANG",NA,41,67,2,8,"한국","한국","","","no_age","기타","강민구,전범수","","no_date",NA,NA,"no_date","0","1"
"23","213","[아티언스 대전:위대한 상상]달나라 여행+아주 특별한 여행",NA,12,14,2,3,"기타","기타","","","no_age","기타","조르주 멜리에스,세르주 블룸버그,에릭 랑쥬","","no_date",NA,NA,"no_date","0","0"
